id;order_id;production_order_number;customer_responsible;supplier;customer;product_id;order_created_at;order_created_by;order_iop;product_name;product_ref;audit_created_at;audit_last_updated_at;order_status;taxonomy;brand_name;product_type_name;section_name;buyer_name;buyer_group_name;supplier_code;supplier_name;supplier_legal_name
258879;1d412e00-731c-449f-97ac-1c5c0b1994dd;55990;noeliacb;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:283b76a3-a084-4161-9e2f-ce2010e4a5ac;c7f809c9-61e5-4534-8769-7680bd4510e7;2026-01-01T11:33:47.513Z;noeliacb;VERDADERO;TRENCH CAPA CORTO FLUÍDO ;5-49HBT;2026-01-01T11:45:10.525Z;2026-01-02T14:30:17.511Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
258882;e4f378dd-e467-4ffd-96af-3f8d3b01c638;55991;noeliacb;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:283b76a3-a084-4161-9e2f-ce2010e4a5ac;48aa07f2-6fd9-4ab2-bc88-9983b6f9c9b7;2026-01-01T12:59:34.680Z;noeliacb;VERDADERO;CROPPED BLAZER MANGA CORTA;5-48KLX;2026-01-01T13:00:21.923Z;2026-01-02T14:30:17.511Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
258886;f5ed4457-b9e7-490e-a5ec-221a1a649df2;55992;noeliacb;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:283b76a3-a084-4161-9e2f-ce2010e4a5ac;48aa07f2-6fd9-4ab2-bc88-9983b6f9c9b7;2026-01-01T13:09:32.793Z;noeliacb;VERDADERO;CROPPED BLAZER MANGA CORTA;5-48KLX;2026-01-01T13:15:11.434Z;2026-01-02T14:30:17.511Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
258887;68f8423d-1d03-464e-a4dc-736eff56918f;55994;noeliacb;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:283b76a3-a084-4161-9e2f-ce2010e4a5ac;48aa07f2-6fd9-4ab2-bc88-9983b6f9c9b7;2026-01-01T13:19:01.330Z;noeliacb;VERDADERO;CROPPED BLAZER MANGA CORTA;5-48KLX;2026-01-01T13:30:17.793Z;2026-01-02T14:30:17.511Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
258888;bff07c72-27f2-4544-bb8b-482c713d72c3;55993;noeliacb;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:283b76a3-a084-4161-9e2f-ce2010e4a5ac;48aa07f2-6fd9-4ab2-bc88-9983b6f9c9b7;2026-01-01T13:15:37.672Z;noeliacb;VERDADERO;CROPPED BLAZER MANGA CORTA;5-48KLX;2026-01-01T13:30:17.793Z;2026-01-02T14:30:17.511Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
308445;1dfd5610-0614-41e0-929f-af078d661e75;56132;noeliacb;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:283b76a3-a084-4161-9e2f-ce2010e4a5ac;88554efe-37e6-46c7-952f-0ce1b44cd58d;2026-01-05T10:38:10.318Z;noeliacb;VERDADERO;BLAZER HOMBRERAS ANTOINETTE;5-49QHF;2026-01-05T10:45:09.825Z;2026-01-08T04:08:57.290Z;FORMALIZED;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
308726;94c08c74-bc44-418f-90c1-d339a8ca01e2;56229;jacobofba;urn:product-supplier:696f7a2f-c1d1-4e12-9e31-a897d6690b9a;urn:BUYERCODE:03218fdc-5197-41d5-9e6b-1752434bd19a;c28dbf4e-52dd-4a56-987f-17cad41bc3b5;2026-01-05T12:33:20.225Z;jacobofba;VERDADERO;TRAJE_113 - PANTALÓN RECTO TEJIDO ESTRUCTURA;1-49RPX;2026-01-05T12:45:10.145Z;2026-01-08T04:08:51.589Z;FORMALIZED;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;959574;VISIONLAND G AND T.;VISIONLAND G AND T.
308894;378c592b-aa78-48a2-9d1f-6d686e7f8b38;56265;sarasram;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:dc6ec85c-0f5b-4d31-9b7d-9ca935b37833;6c4de6a6-8a44-4a72-866e-6d03e09bdc50;2026-01-07T07:27:35.159Z;sarasram;VERDADERO;CAMISA CUADROS CUELLO PAÑUELO;4-49PQQ;2026-01-07T07:30:19.351Z;2026-01-08T04:08:51.863Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
308895;28fa5344-bfe7-4ed8-9841-580f7bf65dfa;56267;sarasram;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:dc6ec85c-0f5b-4d31-9b7d-9ca935b37833;6c4de6a6-8a44-4a72-866e-6d03e09bdc50;2026-01-07T07:59:26.419Z;sarasram;VERDADERO;CAMISA CUADROS CUELLO PAÑUELO;4-49PQQ;2026-01-07T08:00:25.800Z;2026-01-08T04:08:51.863Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
308997;9a6978f7-fbc5-47af-9dc5-e2dc0d22593f;56292;sarasram;urn:product-supplier:fc7375e0-568d-4587-af30-20a2e6dd6a1a;urn:BUYERCODE:dc6ec85c-0f5b-4d31-9b7d-9ca935b37833;8712fec4-f50d-450e-83eb-8cb009909199;2026-01-07T09:32:26.252Z;sarasram;VERDADERO;CAMISA FLUÍDA COMBINADA POPELÍN;4-47RBB;2026-01-07T09:45:09.206Z;2026-01-08T04:08:51.863Z;DRAFT;CLOTHES;ZARA;ROPA;SEÑORA;WOMAN;W.COLLECTION A;727178;DENLLO;DENLLO, S.A.
